trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,Volume,turnover,market_cap
29-09-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,780,805,770,774.6,26000,2040000000000.00,0.654
30-09-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,775,783.45,766.25,773.55,17350,1340000000000.00,0.6757
01-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,763,797.3,760.25,774.95,35941,2800000000000.00,0.7407
04-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,788,795,775,783.4,31160,2450000000000.00,0.594
05-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,775.1,788,772.05,779,32141,2500000000000.00,0.8349
06-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,812,812,773,799.45,69177,5510000000000.00,0.7801
07-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,791,807,778.2,783.85,38093,3030000000000.00,0.6554
08-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,780,799,776.55,779.25,20060,1570000000000.00,0.6635
11-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,782.5,798,782.5,793.65,16798,1330000000000.00,0.676
12-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,782.1,803.95,782.1,798.15,22402,1780000000000.00,0.7557
13-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,791,805,791,797.6,36541,2920000000000.00,0.7559
14-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,798,807,798,805.4,47108,3790000000000.00,0.8248
15-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,795,806,782.05,784.9,14809,1170000000000.00,0.6986
18-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,799,799,745,759.95,64137,4900000000000.00,0.65
19-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,775,775,747,751.2,52109,3970000000000.00,0.6136
20-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,760,775,757,765.8,26636,2050000000000.00,0.7232
21-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,770,774,768,771.6,24106,1860000000000.00,0.7893
22-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,777,777,770,772.9,8814,681000000000.00,0.7392
25-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,772,797.25,770,791.2,18209,1430000000000.00,0.7278
26-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,788,797.9,775.2,783.95,8898,702000000000.00,0.6306
27-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,784.2,789.85,770,777.35,7409,578000000000.00,0.6218
28-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,771,780,770.1,770.6,5769,447000000000.00,0.6209
29-10-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,768.45,790,739.8,774.45,36854,2830000000000.00,0.7468
01-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,790,801,781.5,798.6,22483,1790000000000.00,0.7195
02-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,805,838,799,806.4,158531,13000000000000.00,0.4768
03-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,810,818.65,795,799.25,21687,1750000000000.00,0.7017
04-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,785.5,811.8,785.5,810.3,16533,1340000000000.00,0.7525
05-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,812,820,805,811.9,7313,594000000000.00,0.8224
08-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,811.95,817,801.55,809.15,13274,1070000000000.00,0.797
09-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,803,828,803,815.8,34403,2800000000000.00,0.7942
10-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,810,823.9,808,809.9,24918,2030000000000.00,0.7558
11-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,812,814,786,795.9,39459,3150000000000.00,0.779
12-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,795.9,798,775.1,782.75,35124,2760000000000.00,0.8792
15-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,778,799.9,778,781.55,21302,1670000000000.00,0.7295
16-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,780.1,794.85,751.1,778.6,35834,2770000000000.00,0.8276
18-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,798,798,736,772.3,16263,1240000000000.00,0.691
19-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,769.95,786.9,750.15,761.6,14753,1120000000000.00,0.6633
22-11-2010,BAJFINANCE,Bajaj Finance Ltd,Financial Services,760,776,752,763.85,10724,814000000000.00,0.5759
